code,title,definition,longdefinition,inclusions,exclusions
8B22.5,"Cerebral aneurysm, nonruptured",,,,Congenital cerebral nonruptured aneurysm; ruptured cerebral aneurysm
8B22.6,Familial cerebral saccular aneurysm,These are pouch-like expansions of arteries inside the skull that are familial.,,,
8B22.70,Primary cerebral arteritis,"Primary cerebral arteritis (or ""angiitis"") results from inflammation and destruction of central nervous system (CNS) vessels without evidence of vasculitis outside the CNS",,,
8B22.7Y,"Other specified cerebral arteritis, not elsewhere classified",,,,
8B22.7Z,"Cerebral arteritis, not elsewhere classified, unspecified",,,,
8B22.8,Hypertensive encephalopathy,,,,
8B22.9,Migraine-induced stroke,,,,
8B22.A,Subclavian steal syndrome,Retrograde blood flow in the vertebral artery in the setting of ipsilateral proximal subclavian artery stenosis or occlusion leading to symptoms of basilar insufficiency.,,,
8B22.B,Moyamoya syndrome,"A cerebrovascular disease caused by stenotic arteries at the base of the brain in the basal ganglia. Moyamoya, meaning ""puff of smoke"" refers to the appearance of the anastomotic vessel network formed at the base of the brain distal to the circle of Willis to compensate for the blockage.",,,
8B22.C0,CADASIL - [cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy] syndrome,"CADASIL is the acronym for Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy. CADASIL is a genetic disease transmitted in an autosomal dominant pattern. It is associated with ischemic stroke, migraine, dementia, psychological disturbances.",,,
8B22.C1,CARASIL - [cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy] syndrome,CARASIL is the acronym for cerebral autosomal recessive arteriopathy with subcortical ischaemic strokes and leukoencephalopathy.,,,
8B22.CY,Other specified hereditary cerebrovascular diseases,,,,
8B22.CZ,"Hereditary cerebrovascular diseases, unspecified",,,,
8B22.Y,Other specified cerebrovascular disease,,,,
8B23,Cerebrovascular abnormalities,"Cerebrovascular abnormalities in diseases that also involve other parts of the vascular system than intracranial and extracranial arteries, or other body systems than the nervous system.",,,
8B24.0,Anoxic-ischaemic encephalopathy,,,,
8B24.Y,Other specified hypoxic-ischaemic encephalopathy,,,,
8B24.Z,"Hypoxic-ischaemic encephalopathy, unspecified",,,,
8B25.0,Late effects of cerebral ischemic stroke,Late effects of cerebral ischaemic stroke 1 month or later after the onset of the disease. Codes for the acute stroke should be exclusively used for the acute stroke and immediately related hospitalisation episodes.,,,
8B25.1,Late effects of intracerebral haemorrhage,,,,
8B25.2,Late effects of subarachnoid haemorrhage,Late effects of non-traumatic subarachnoid haemorrhage 1 month or later after the onset of the disease. Codes for acute haemorrhage should be exclusively used for the acute haemorrhage and immediately related hospitalisation episodes.,,,
8B25.3,Late effects of other nontraumatic intracranial haemorrhage,Late effects of other non-traumatic intracranial haemorrhage 1 month or later after the onset of the disease. Codes for acute episode should be exclusively used for the acute haemorrhage and immediately related hospitalisation episodes.,,,
8B25.4,Late effects of stroke not known if ischaemic or haemorrhagic,Late effects occurring 1 month or later after the onset of the disease. Codes for acute stroke should be exclusively used for the acute stroke and immediately related hospitalisation episodes.,,,
8B25.Y,Late effects of other specified cerebrovascular disease,,,,
